Word,Frequency
Ferry-Crampton,1
Gap,7
McClellan,1
Baltimore,2
Frederick,9
Sharpsburg,2
Join,8
Volume,11
'Here,1
CONTENTS,5
Sheets,19
Mapsheets,3
Display,29
Tray,2
TIME,16
SCALE,47
MAP,23
mile,7
UNIT,15
corps,29
PLAYERS,9
PLAYING,2
introductory,16
12,54
hours,98
Confront,1
rival,20
guild,7
Take,29
Gem,1
Pearl,3
common,30
Discover,9
twists,9
opportunities,30
derived,3
Splendor,3
best-selling,3
Acquire,3
impressive,11
advantage,43
Privileges,1
scarce,9
access,28
Pearls,1
Duel,16
standalone,76
retains,3
main,79
bit,11
rich,36
tense,36
mean,8
shared,16
Hoplite,7
15th,4
History,11
allows,123
recreate,25
pre-Alexandrian,1
Persian-Hellenistic,1
heyday,1
formation,11
often,41
considered,15
birth,7
Warfare,11
opposed,5
Persian/Eastern,1
style,40
relied,3
archery,1
light,23
mobility,10
Exactly,1
hoplite,3
really,28
happened,13
bell,1
rang,1
disputed,1
historians,3
today,16
theories,3
eleven,6
Leuctra,3
60-man,1
phalanx,1
Beotarch,1
Epaminondas,2
confrontations,5
Persian,9
missile-armed,1
Greek,21
phalanxes,1
meant,7
convey,2
Hellenic,2
Law,3
Inertia,1
Drift,1
Right,3
capabilities,23
Harassment,1
Dispersal,1
levels,59
Dont,2
Walk,1
whole,34
good,66
chariots,2
biggest,8
European,32
Napoleonic,10
immense,12
Plataea,5
truly,20
deciding,10
engagement,7
Greco-Persian,1
250,6
Contingents,1
26,11
City-States,2
Pausanias,1
Spartan,1
Regent,1
General,33
vs,30
Persians,6
Medes,1
Asians,1
Bactrians,1
Scythians,1
Indians,1
seven,42
Medized,1
city-states,4
Mardonius,1
Commander,33
son-in-law,1
Darius,1
package,10
GBoH,2
versions,22
highlight,6
ultimate,27
lets,20
stack,21
June,50
2013,7
Men,3
Bronze,1
Greece,14
Donald,1
Kagan,1
Editor,2
Gregory,6
Viggiano,1
"1,120",2
Book,36
Scenario,44
folio,1
storage,9
bags,4
yards,15
hold,42
nine,17
Cunaxa,1
401,1
BCE,15
Delium,1
Athenians,3
Boeotians,1
424,1
Ephesus,1
Ionians,1
498,1
Boeotian,2
League,11
Sparta,6
371,1
Mantinea,1
Arcadian,1
Leagues,2
Lacedaemonian,1
362,1
Marathon,2
Persia,6
Athens,7
490,2
Mycale,1
Greeks,2
479,2
Nemea,1
Spartans,3
Thebans,2
394,2
Coronea,1
Tanagra-,1
457,1
Hannibal,20
Hamilcar,6
Carthage,15
20th,15
anniversary,3
presents,12
superpowers,8
Antiquity,5
classical,6
Clausewitzian,2
perspective,8
reverts,2
designed,116
world-renowned,2
Mark,34
Simonitch,16
Anniversary,14
variants,12
producing,7
exactly,11
results,29
golden,7
numerous,32
awards,14
Award,7
Wargame,4
currently,8
ranked,1
18th,7
BoardGameGeek.coms,1
rankings,1
updated,55
Jaro,1
Andruszkiewicz,1
PHALANX,1
meticulous,2
faster,16
received,13
artwork,25
enriched,2
addition,78
